      Step     Time          Energy         fmax
BFGS:    0 00:53:14     -423.415799        2.8902
BFGS:    1 00:59:00     -423.318984        4.8355
BFGS:    2 01:03:29     -423.714544        0.8320
BFGS:    3 01:07:35     -423.756195        0.7218
BFGS:    4 01:11:59     -423.785440        1.0945
BFGS:    5 01:16:18     -423.811980        0.5781
BFGS:    6 01:19:55     -423.831096        0.3677
BFGS:    7 01:24:31     -423.862729        0.6231
BFGS:    8 01:28:26     -423.870716        0.7574
BFGS:    9 01:31:29     -423.882934        0.2292
BFGS:   10 01:35:07     -423.893392        0.3203
BFGS:   11 01:38:28     -423.898461        0.2914
BFGS:   12 01:41:53     -423.902679        0.1620
BFGS:   13 01:45:24     -423.907225        0.2082
BFGS:   14 01:49:14     -423.911355        0.2678
BFGS:   15 01:52:56     -423.916578        0.2034
BFGS:   16 01:56:30     -423.920335        0.1278
BFGS:   17 02:00:20     -423.925015        0.1487
BFGS:   18 02:03:58     -423.928686        0.1808
BFGS:   19 02:07:45     -423.931544        0.1153
BFGS:   20 02:10:52     -423.933793        0.1189
BFGS:   21 02:14:45     -423.936700        0.1411
BFGS:   22 02:18:24     -423.939526        0.1803
BFGS:   23 02:22:34     -423.943516        0.1490
BFGS:   24 02:26:24     -423.946052        0.1045
BFGS:   25 02:29:48     -423.949258        0.1353
BFGS:   26 02:33:26     -423.952133        0.1819
BFGS:   27 02:36:40     -423.954683        0.1368
BFGS:   28 02:39:59     -423.958085        0.0987
