      Step     Time          Energy         fmax
BFGS:    0 14:49:57     -331.471613        2.8372
BFGS:    1 14:53:07     -331.366491        4.7758
BFGS:    2 14:55:58     -331.750683        0.6469
BFGS:    3 14:58:16     -331.784226        0.4431
BFGS:    4 15:00:33     -331.811372        0.8875
BFGS:    5 15:03:14     -331.826972        0.7284
BFGS:    6 15:05:15     -331.845154        0.2415
BFGS:    7 15:07:17     -331.865575        0.3935
BFGS:    8 15:09:33     -331.877746        0.3755
BFGS:    9 15:11:28     -331.885861        0.2389
BFGS:   10 15:13:22     -331.892409        0.3178
BFGS:   11 15:15:10     -331.898558        0.5427
BFGS:   12 15:16:49     -331.903158        0.3235
BFGS:   13 15:18:35     -331.907531        0.1398
BFGS:   14 15:20:28     -331.911414        0.1825
BFGS:   15 15:22:28     -331.914350        0.2021
BFGS:   16 15:24:22     -331.916502        0.1161
BFGS:   17 15:26:11     -331.918654        0.1090
BFGS:   18 15:27:57     -331.920966        0.1681
BFGS:   19 15:29:51     -331.923037        0.1662
BFGS:   20 15:31:45     -331.925070        0.1104
BFGS:   21 15:34:04     -331.927354        0.1333
BFGS:   22 15:36:07     -331.931324        0.2035
BFGS:   23 15:38:25     -331.936015        0.2512
BFGS:   24 15:40:35     -331.939444        0.1763
BFGS:   25 15:42:39     -331.941895        0.1262
BFGS:   26 15:44:24     -331.943216        0.0995
      Step     Time          Energy         fmax
BFGS:    0 08:33:12     -331.471613        2.8372
BFGS:    1 08:36:18     -331.366491        4.7758
BFGS:    2 08:38:58     -331.750683        0.6469
BFGS:    3 08:41:12     -331.784226        0.4431
BFGS:    4 08:43:26     -331.811372        0.8875
BFGS:    5 08:46:02     -331.826972        0.7284
BFGS:    6 08:48:00     -331.845154        0.2415
BFGS:    7 08:49:58     -331.865575        0.3935
BFGS:    8 08:52:11     -331.877746        0.3755
BFGS:    9 08:54:02     -331.885861        0.2389
BFGS:   10 08:55:52     -331.892409        0.3178
BFGS:   11 08:57:35     -331.898558        0.5427
BFGS:   12 08:59:11     -331.903158        0.3235
BFGS:   13 09:00:54     -331.907531        0.1398
BFGS:   14 09:02:45     -331.911414        0.1825
BFGS:   15 09:04:35     -331.914350        0.2021
BFGS:   16 09:06:26     -331.916502        0.1161
BFGS:   17 09:08:09     -331.918654        0.1090
BFGS:   18 09:09:52     -331.920966        0.1681
BFGS:   19 09:11:42     -331.923037        0.1662
BFGS:   20 09:13:33     -331.925070        0.1104
BFGS:   21 09:15:47     -331.927354        0.1333
BFGS:   22 09:17:47     -331.931324        0.2035
BFGS:   23 09:20:01     -331.936015        0.2512
BFGS:   24 09:22:07     -331.939444        0.1763
BFGS:   25 09:24:04     -331.941895        0.1262
BFGS:   26 09:25:47     -331.943216        0.0995
