      Step     Time          Energy         fmax
BFGS:    0 16:10:19     -390.022587        2.9916
BFGS:    1 16:13:40     -389.896590        4.8857
BFGS:    2 16:17:14     -390.299489        0.9574
BFGS:    3 16:20:07     -390.352246        0.8180
BFGS:    4 16:23:05     -390.390649        1.5322
BFGS:    5 16:25:52     -390.419219        0.6917
BFGS:    6 16:28:09     -390.437791        0.3373
BFGS:    7 16:30:47     -390.459497        0.6224
BFGS:    8 16:33:15     -390.464862        0.7929
BFGS:    9 16:35:12     -390.473732        0.3026
BFGS:   10 16:37:49     -390.485231        0.4056
BFGS:   11 16:40:23     -390.491662        0.4666
BFGS:   12 16:42:49     -390.496252        0.2483
BFGS:   13 16:45:23     -390.501952        0.2114
BFGS:   14 16:47:17     -390.505006        0.2808
BFGS:   15 16:49:10     -390.508292        0.2040
BFGS:   16 16:51:22     -390.510590        0.0953
      Step     Time          Energy         fmax
BFGS:    0 06:38:04     -390.022587        2.9916
BFGS:    1 06:41:13     -389.896590        4.8857
BFGS:    2 06:44:30     -390.299489        0.9574
BFGS:    3 06:47:11     -390.352246        0.8180
BFGS:    4 06:50:01     -390.390649        1.5322
BFGS:    5 06:52:44     -390.419219        0.6917
BFGS:    6 06:54:54     -390.437791        0.3373
BFGS:    7 06:57:24     -390.459497        0.6224
BFGS:    8 06:59:43     -390.464862        0.7929
BFGS:    9 07:01:34     -390.473732        0.3026
BFGS:   10 07:04:10     -390.485231        0.4056
BFGS:   11 07:06:44     -390.491662        0.4666
BFGS:   12 07:09:06     -390.496252        0.2483
BFGS:   13 07:11:35     -390.501952        0.2114
BFGS:   14 07:13:27     -390.505006        0.2808
BFGS:   15 07:15:21     -390.508292        0.2040
BFGS:   16 07:17:32     -390.510590        0.0953
