      Step     Time          Energy         fmax
BFGS:    0 22:48:25     -266.094530        2.9092
BFGS:    1 22:50:10     -265.949979        4.8746
BFGS:    2 22:51:54     -266.347547        0.7201
BFGS:    3 22:53:15     -266.377621        0.3887
BFGS:    4 22:54:41     -266.397663        0.6333
BFGS:    5 22:56:07     -266.407038        0.8115
BFGS:    6 22:57:17     -266.417956        0.2324
BFGS:    7 22:58:34     -266.429781        0.4578
BFGS:    8 22:59:54     -266.439612        0.5366
BFGS:    9 23:01:04     -266.444012        0.3524
BFGS:   10 23:02:12     -266.448069        0.1981
BFGS:   11 23:03:29     -266.451144        0.2761
BFGS:   12 23:04:30     -266.453776        0.1894
BFGS:   13 23:05:36     -266.455971        0.0999
      Step     Time          Energy         fmax
BFGS:    0 15:49:07     -266.094530        2.9092
BFGS:    1 15:50:56     -265.949979        4.8746
BFGS:    2 15:52:46     -266.347547        0.7201
BFGS:    3 15:54:12     -266.377621        0.3887
BFGS:    4 15:55:41     -266.397663        0.6333
BFGS:    5 15:57:11     -266.407038        0.8115
BFGS:    6 15:58:25     -266.417956        0.2324
BFGS:    7 15:59:44     -266.429781        0.4578
BFGS:    8 16:01:09     -266.439612        0.5366
BFGS:    9 16:02:23     -266.444012        0.3524
BFGS:   10 16:03:37     -266.448069        0.1981
BFGS:   11 16:04:46     -266.451144        0.2761
BFGS:   12 16:05:51     -266.453776        0.1894
BFGS:   13 16:07:01     -266.455971        0.0999
