species,atom1,atom2,wiberg_bond_order,bond_length
Ac4_rdkit_conf_3,17,10,0.0009,3.869184842693742
Ac4_rdkit_conf_3,18,8,0.0015,1.8619166659152604
Ac4_rdkit_conf_3,18,9,0.0052,2.2486521627279306
Ac4_rdkit_conf_3,18,10,0.7323,0.9683041894162184
Ac4_rdkit_conf_2,8,0,0.0004,4.329675492888122
Ac4_rdkit_conf_2,8,1,0.0039,2.919551481905568
Ac4_rdkit_conf_2,8,2,0.0083,2.579277660819982
Ac4_rdkit_conf_2,8,3,0.0071,3.826693475804405
Ac4_rdkit_conf_2,8,4,0.0060,4.26910680179988
Ac4_rdkit_conf_2,8,5,0.0098,3.7371991510504223
Ac4_rdkit_conf_2,8,6,0.0140,2.4355418078015005
Ac4_rdkit_conf_2,8,7,0.9975,1.4905310508302068
Ac4_rdkit_conf_2,9,0,0.0002,5.527188854068675
Ac4_rdkit_conf_2,9,1,0.0040,4.117507305055329
Ac4_rdkit_conf_2,9,2,0.0222,3.6645294547322167
Ac4_rdkit_conf_2,9,3,0.0012,4.7870440761903374
Ac4_rdkit_conf_2,9,4,0.0109,4.969400730715223
Ac4_rdkit_conf_2,9,5,0.0014,4.137258412884189
Ac4_rdkit_conf_2,9,6,0.0181,2.755529711927999
Ac4_rdkit_conf_2,9,7,0.0580,2.3723284599764
Ac4_rdkit_conf_2,9,8,1.7273,1.2042076336882273
Ac4_rdkit_conf_2,10,0,0.0015,3.8862253657542816
Ac4_rdkit_conf_2,10,1,0.0047,2.584833952807994
Ac4_rdkit_conf_2,10,2,0.0050,2.8950795364606132
Ac4_rdkit_conf_2,10,3,0.0005,4.285133712458457
Ac4_rdkit_conf_2,10,4,0.0030,5.062159092694935
Ac4_rdkit_conf_2,10,5,0.0008,4.81152178197626
Ac4_rdkit_conf_2,10,6,0.0113,3.6268192078736154
Ac4_rdkit_conf_2,10,7,0.0146,2.395784319224291
Ac4_rdkit_conf_2,10,8,1.0625,1.3398573204472184
Ac4_rdkit_conf_2,10,9,0.1498,2.2198416793323346
Ac4_rdkit_conf_2,11,8,0.0000,4.733979932713382
Ac4_rdkit_conf_2,11,9,0.0000,5.917689855081457
Ac4_rdkit_conf_2,11,10,0.0000,3.994568362013222
Ac4_rdkit_conf_2,12,8,0.0001,4.838542553375449
Ac4_rdkit_conf_2,12,9,0.0002,6.029388048197263
Ac4_rdkit_conf_2,12,10,0.0000,4.480763266229203
Ac4_rdkit_conf_2,13,8,0.0001,4.83916301505498
Ac4_rdkit_conf_2,13,9,0.0002,5.990943206558797
Ac4_rdkit_conf_2,13,10,0.0001,4.553622722385332
Ac4_rdkit_conf_2,14,8,0.0004,4.722039217449491
Ac4_rdkit_conf_2,14,9,0.0005,5.757571796107974
Ac4_rdkit_conf_2,14,10,0.0000,4.969906480379987
Ac4_rdkit_conf_2,15,8,0.0004,5.351574254524643
Ac4_rdkit_conf_2,15,9,0.0001,6.027625153942637
Ac4_rdkit_conf_2,15,10,0.0000,6.124965406230716
Ac4_rdkit_conf_2,16,8,0.0002,4.578731830493898
Ac4_rdkit_conf_2,16,9,0.0001,4.765492004198622
Ac4_rdkit_conf_2,16,10,0.0003,5.746404959017246
Ac4_rdkit_conf_2,17,8,0.0029,2.5517434977087725
Ac4_rdkit_conf_2,17,9,0.0021,2.363723170197813
Ac4_rdkit_conf_2,17,10,0.0010,3.876368092106192
Ac4_rdkit_conf_2,18,8,0.0015,1.8530748263785788
Ac4_rdkit_conf_2,18,9,0.0056,2.2312989649441866
Ac4_rdkit_conf_2,18,10,0.7351,0.9683392606922432
Ac5_rdkit_conf_1,3,0,0.0095,2.4819581274576334
Ac5_rdkit_conf_1,3,1,0.9260,1.5239730946299543
Ac5_rdkit_conf_1,3,2,0.0070,2.48289626456
Ac5_rdkit_conf_1,4,0,0.0122,3.49626655315824
Ac5_rdkit_conf_1,4,1,0.0510,2.4267926190537996
Ac5_rdkit_conf_1,4,2,0.0042,2.763506896712943
Ac5_rdkit_conf_1,4,3,1.7724,1.1996283401645693
Ac5_rdkit_conf_1,5,0,0.0025,2.78300953773177
Ac5_rdkit_conf_1,5,1,0.0152,2.384576939976775
Ac5_rdkit_conf_1,5,2,0.0077,3.6858649861058397
Ac5_rdkit_conf_1,5,3,1.0454,1.3450061075954265
Ac5_rdkit_conf_1,5,4,0.1509,2.228037794582713
Ac5_rdkit_conf_1,6,3,0.0125,2.455128246271465
Ac5_rdkit_conf_1,6,4,0.0134,3.32969086727672
Ac5_rdkit_conf_1,6,5,0.0034,2.949388759188758
Ac5_rdkit_conf_1,7,3,0.0058,2.9094759333658353
Ac5_rdkit_conf_1,7,4,0.0025,3.3936840110029394
Ac5_rdkit_conf_1,7,5,0.0014,3.495094918053872
Ac5_rdkit_conf_1,8,3,0.0006,4.222004640434328
Ac5_rdkit_conf_1,8,4,0.0003,4.702267676185502
Ac5_rdkit_conf_1,8,5,0.0002,4.591733125675969
Ac5_rdkit_conf_1,9,3,0.0027,4.991148882335208
Ac5_rdkit_conf_1,9,4,0.0010,5.698661452501105
Ac5_rdkit_conf_1,9,5,0.0007,5.157130524558109
Ac5_rdkit_conf_1,10,3,0.0007,4.740390827264034
Ac5_rdkit_conf_1,10,4,0.0008,5.661157688166352
Ac5_rdkit_conf_1,10,5,0.0002,4.803358888248931
Ac5_rdkit_conf_1,11,3,0.0097,3.615755991626786
Ac5_rdkit_conf_1,11,4,0.0020,4.627034637561837
Ac5_rdkit_conf_1,11,5,0.0013,3.76220426236083
Ac5_rdkit_conf_1,12,3,0.0010,2.7717299700555245
Ac5_rdkit_conf_1,12,4,0.0002,3.917768598695691
Ac5_rdkit_conf_1,12,5,0.0002,2.52795220128091
Ac5_rdkit_conf_1,13,3,0.0013,2.6843658944201327
Ac5_rdkit_conf_1,13,4,0.0004,3.473341160700169
Ac5_rdkit_conf_1,13,5,0.0002,3.0313111666001893
Ac5_rdkit_conf_1,14,3,0.0108,3.4347276995920653
Ac5_rdkit_conf_1,14,4,0.0019,4.390299045206261
Ac5_rdkit_conf_1,14,5,0.0019,3.8242207188479593
Ac5_rdkit_conf_1,15,3,0.0110,3.4307559629855633
Ac5_rdkit_conf_1,15,4,0.0017,3.8385399479292905
Ac5_rdkit_conf_1,15,5,0.0003,4.509835590245613
