species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac2,0,-0.6108124249732864,3.8770173378618464,152.98983192255022,-0.15828058632748324,-0.060770488868499575,-0.4181730698996251,-0.15174199581228565,-0.05423189835330198,-0.4115643633826856,-0.1622457377169804,-0.06473564025799675,-0.0039651513894971065,-0.006538590515197591,0.002573439125700426
Ac5,0,-0.5892386534141622,3.868408796500518,155.3083852694412,-0.2314004023407761,-0.08627164919882291,-0.589343390622039,-0.21316209319312993,-0.06803334005117671,-0.5916180386764226,-0.24677498153569158,-0.10164688337229212,-0.015375234173469126,-0.018238309147646178,0.0028630749741769914
Ac7,0,-0.5968386759696825,2.0175009533599373,-153.18888514589207,-0.33319276316686275,-0.27985690032660143,-0.1673980094075222,-0.02422753702390775,0.029108029399212115,-0.7654079385625653,-0.49285608535467573,-0.4395207669709922,-0.15966386664439067,-0.3089649297258135,0.14930106308142285
Ac4,0,-0.2524839650215762,3.784194350500026,127.00382079544613,-0.11737342728875017,0.004616778879650412,-0.27672607117634096,-0.08686171321958736,0.035128492948813234,-0.24310177819506124,-0.13575822386843872,-0.013768017700038125,-0.018384796579688494,-0.030511714069162824,0.012126917489474233
Ac3,0,-0.57395,2.0352,-127.6635,-0.317972,-0.267438,-0.49852,-0.259079,-0.208546,-0.70195,-0.428023,-0.37749,-0.1100519999999999,-0.058892,-0.0511599999999999
Ac4,0,-0.2524839650215762,3.784194350500026,127.00382079544613,-0.11737342728875017,0.004616778879650412,-0.27672607117634096,-0.08686171321958736,0.035128492948813234,-0.24310177819506124,-0.13575822386843872,-0.013768017700038125,-0.018384796579688494,-0.030511714069162824,0.012126917489474233
Ac2,1,0.2696423456040449,3.9044148353017882,104.49830350801888,0.05828442388584644,0.06501435256405673,0.18175261807224655,0.06165572794772793,0.06838628820457474,0.17961840887345068,0.05692767849175401,0.06365823874860083,-0.0013561138154558477,-0.0033719356405179394,0.0020158218250620917
Ac5,1,-0.17221592629507163,4.016473552142716,135.17829714972987,-0.0037706944240554,0.014152368164089567,-0.21575358981643084,0.0014420010949614038,0.019365063683106372,-0.1539423330684964,-0.013392944873359897,0.004529305753160418,-0.00962306241092915,-0.005212695519016801,-0.004410366891912252
Ac7,1,0.802970222715306,3.823889395828837,-6.5178815134460795,0.2633889106047282,0.21440255089552782,0.8087652124344429,0.35296524273650787,0.3039793385707299,0.5720555805927066,0.11361694027422317,0.0646305805650228,-0.14977197033050493,-0.08957678767520208,-0.06019518265530284
Ac4,1,-0.4694485700159878,2.1553934887250477,232.9170004021474,-0.22535730817175353,-0.13616314967479665,-0.3371653178036166,-0.1252712929700985,-0.036077111920059704,-0.48700089932355795,-0.24544127418934192,-0.1562465168312686,-0.020083367156471882,-0.10008603775473693,0.08000267059826495
Ac3,1,0.77863,3.8437,7.6059,0.268478,0.213222,0.74424,0.28231,0.227055,0.7064,0.183761,0.128505,-0.0847169999999999,-0.013833,-0.0708839999999999
Ac4,1,-0.4694485700159878,2.1553934887250477,232.9170004021474,-0.22535730817175353,-0.13616314967479665,-0.3371653178036166,-0.1252712929700985,-0.036077111920059704,-0.48700089932355795,-0.24544127418934192,-0.1562465168312686,-0.020083367156471882,-0.10008603775473693,0.08000267059826495
Ac2,2,-0.6397910668905384,3.8668066757527146,159.38671809940064,-0.16132659240748248,-0.06379224979840283,-0.43319940783631594,-0.15301867048689294,-0.055483696299176745,-0.43097434054605505,-0.164430842221588,-0.06689582493903805,-0.003103575140635156,-0.008308553499226079,0.005204978358590858
Ac5,2,-0.5959701574663914,3.865172048988044,158.5384322789879,-0.22837589958720583,-0.08257817415417189,-0.6015657415462891,-0.21605001153304815,-0.07025144308308513,-0.5928629601849174,-0.24183197352146585,-0.09603421703312745,-0.013456042878955476,-0.012326731071086745,-0.0011293118078687329
Ac7,2,-0.6952525049077323,1.9535352262376477,113.70558355991717,-0.377631823811122,-0.17730264626877726,-0.5741523362427279,-0.26909595573332773,-0.06876732264756069,-0.7516606892853752,-0.45311659708314533,-0.25278741954080064,-0.07548477327202335,-0.1085353236212165,0.03305055034919315
Ac4,2,0.33896543770950693,3.931615352469568,3.3312211781777292,0.10498906587575198,0.08474204925926579,0.45708391627601574,0.19511161529109985,0.17486459867461368,0.2839402048934666,0.054206482604690256,0.03395946598820408,-0.05078258327106171,-0.09012254941534784,0.03933996614428612
Ac3,2,-0.68048,1.9687,125.163,-0.364223,-0.166138,-0.667,-0.34382,-0.145735,-0.71689,-0.411169,-0.213084,-0.0469459999999999,-0.020403,-0.0265429999999999
Ac4,2,0.33896543770950693,3.931615352469568,3.3312211781777292,0.10498906587575198,0.08474204925926579,0.45708391627601574,0.19511161529109985,0.17486459867461368,0.2839402048934666,0.054206482604690256,0.03395946598820408,-0.05078258327106171,-0.09012254941534784,0.03933996614428612
Ac2,3,-0.6387455087685778,3.8668338807492475,159.11038383512062,-0.16113738214662437,-0.06360362945812353,-0.4320676034307432,-0.15290657316428405,-0.055372820475783215,-0.4302487719841742,-0.16447257717486943,-0.06693878139153481,-0.0033351519334112022,-0.00823080898234033,0.004895657048929069
Ac5,3,0.8086692669661572,3.823085343112497,-8.627200748847546,0.26656345147314264,0.21433613107544403,0.8015404976385321,0.27372046130617345,0.22149329789154568,0.787644541929793,0.2461755928915949,0.19394842947696717,-0.020387701598476762,-0.007157166816101644,-0.013230534782375104
Ac7,3,-0.3260029154870253,3.966652587641899,141.04073273899832,-0.08008440387027213,-0.02078977478734244,-0.27688713404230825,-0.03959801360540263,0.019696615477527074,-0.3269514640092127,-0.11760669939603335,-0.0583122294393846,-0.03752245465204214,-0.04048639026486943,0.00296393561282733
Ac4,3,-0.2943774182436117,3.95696505600585,52.34689848160509,-0.1124525756789754,-0.060484649884596925,-0.19586448509352455,-0.03335885848007848,0.018609067314300006,-0.3352294600885547,-0.17160957246754388,-0.11964164667316542,-0.059156996788568485,-0.07909371719889689,0.019936720410328405
