species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge
Ac5_rdkit_conf_3,10,-0.20269,3.9644,37.0652,-0.097113,-0.041008,-0.15931,-0.024461,0.031645,-0.24239,-0.161482,-0.105376
Ac5_rdkit_conf_3,11,-0.21341,3.9621,40.3453,-0.095983,-0.041676,-0.1903,-0.03402,0.020287,-0.25898,-0.154625,-0.100319
Ac5_rdkit_conf_3,12,0.22968,0.9481,29.5178,0.09193,0.034853,0.23714,0.103048,0.045971,0.22268,0.080415,0.023337
Ac5_rdkit_conf_3,13,0.20966,0.957,30.8225,0.087001,0.033344,0.21983,0.099511,0.045854,0.19598,0.071614,0.017956
Ac5_rdkit_conf_3,14,0.21825,0.9532,30.7047,0.089926,0.035167,0.24812,0.114173,0.059415,0.19308,0.066411,0.011653
Ac5_rdkit_conf_3,15,0.22107,0.9518,29.6052,0.088572,0.031005,0.22865,0.100389,0.042823,0.21342,0.075769,0.018202
Ac5_rdkit_conf_3,16,0.21465,0.9549,30.9380,0.089016,0.03562,0.22831,0.104687,0.05129,0.19624,0.067419,0.014022
Ac5_rdkit_conf_3,17,0.21148,0.9562,30.5755,0.087491,0.033387,0.24847,0.117151,0.063047,0.17686,0.055582,0.001478
Ac5_rdkit_conf_3,18,0.49765,0.7557,26.0092,0.360108,0.182306,0.51836,0.381892,0.20409,0.46853,0.328007,0.150205
Ac5_rdkit_conf_3,19,0.22256,0.9517,23.1245,0.098201,0.036317,0.25962,0.134734,0.07285,0.19525,0.063816,0.001932
Ac5_rdkit_conf_3,20,0.21379,0.9552,23.8336,0.099639,0.043486,0.25591,0.141271,0.085118,0.17877,0.060352,0.0042
Ac5_rdkit_conf_3,21,0.21445,0.9548,23.9984,0.099853,0.043777,0.24544,0.155923,0.099847,0.17779,0.040656,-0.01542
Ac5_rdkit_conf_3,22,0.21388,0.9551,23.8748,0.099833,0.043684,0.2547,0.143884,0.087734,0.1784,0.058245,0.002096
Ac5_rdkit_conf_3,23,0.21753,0.9539,23.7483,0.100008,0.041079,0.25677,0.136325,0.077396,0.18623,0.065547,0.006618
Ac5_rdkit_conf_1,0,-0.59926,3.8664,161.5823,-0.230899,-0.085107,-0.60895,-0.220247,-0.074455,-0.59459,-0.243169,-0.097377
Ac5_rdkit_conf_1,1,-0.17443,4.0153,136.6700,-0.00542,0.012661,-0.20748,0.002143,0.020224,-0.17362,-0.007937,0.010144
Ac5_rdkit_conf_1,2,-0.58397,3.8704,154.5081,-0.230931,-0.08598,-0.58166,-0.210279,-0.065327,-0.58253,-0.24293,-0.097978
Ac5_rdkit_conf_1,3,0.81452,3.8216,-8.5767,0.266485,0.21433,0.79536,0.273407,0.221252,0.80516,0.250849,0.198694
Ac5_rdkit_conf_1,4,-0.59755,2.0206,-146.4434,-0.32869,-0.274675,-0.5369,-0.282261,-0.228246,-0.64573,-0.370783,-0.316768
Ac5_rdkit_conf_1,5,-0.68799,1.9654,114.9468,-0.370436,-0.171597,-0.67774,-0.355426,-0.156587,-0.69346,-0.38451,-0.185672
Ac5_rdkit_conf_1,6,-0.00022,4.019,17.6426,-0.009214,0.000688,0.27539,0.113395,0.123297,0.01379,-0.04562,-0.035719
Ac5_rdkit_conf_1,7,-0.21821,3.9611,37.7753,-0.096311,-0.043274,-0.15987,-0.02258,0.030456,-0.37841,-0.193098,-0.140062
Ac5_rdkit_conf_1,8,-0.20038,3.9638,36.6525,-0.095403,-0.039421,-0.19737,-0.036822,0.019159,-0.38746,-0.212052,-0.15607
Ac5_rdkit_conf_1,9,-0.21524,3.9637,38.9885,-0.09946,-0.043382,0.04632,0.05373,0.109807,-0.19309,-0.15396,-0.097882
Ac5_rdkit_conf_1,10,-0.20074,3.9647,36.6308,-0.096827,-0.040761,-0.15709,-0.023023,0.033043,-0.37828,-0.210156,-0.15409
Ac5_rdkit_conf_1,11,-0.21827,3.9627,42.2679,-0.097227,-0.043073,-0.19493,-0.033232,0.020922,-0.3916,-0.200022,-0.145868
Ac5_rdkit_conf_1,12,0.22671,0.9494,29.8594,0.090133,0.033131,0.23472,0.101023,0.044021,0.22315,0.078079,0.021077
Ac5_rdkit_conf_1,13,0.2175,0.9534,30.6599,0.090113,0.03583,0.24779,0.114611,0.060328,0.18901,0.065623,0.01134
Ac5_rdkit_conf_1,14,0.2122,0.9561,30.4519,0.089124,0.035556,0.22319,0.101719,0.048152,0.20644,0.076053,0.022485
Ac5_rdkit_conf_1,15,0.21075,0.9564,31.2155,0.086623,0.0332,0.2231,0.101199,0.047776,0.20353,0.07458,0.021158
Ac5_rdkit_conf_1,16,0.22397,0.9505,29.9606,0.08992,0.03336,0.23127,0.101639,0.045079,0.22489,0.079199,0.022639
Ac5_rdkit_conf_1,17,0.21564,0.9544,30.5308,0.088734,0.034004,0.25589,0.120555,0.065824,0.18611,0.064039,0.009308
Ac5_rdkit_conf_1,18,0.49569,0.7576,26.1977,0.359832,0.182046,0.51659,0.381057,0.203271,0.47633,0.339371,0.161585
