File,atom1,atom2,bonding
Ac2_rdkit_conf_3,10,9,1.7844
Ac2_rdkit_conf_3,11,0,0.0000
Ac2_rdkit_conf_3,11,1,0.0000
Ac2_rdkit_conf_3,11,2,0.0000
Ac2_rdkit_conf_3,11,3,0.0000
Ac2_rdkit_conf_3,11,4,0.0004
Ac2_rdkit_conf_3,11,5,0.0013
Ac2_rdkit_conf_3,11,6,0.0004
Ac2_rdkit_conf_3,11,7,0.0068
Ac2_rdkit_conf_3,11,8,0.0164
Ac2_rdkit_conf_3,11,9,1.0505
Ac2_rdkit_conf_3,11,10,0.1521
Ac2_rdkit_conf_3,12,8,0.0000
Ac2_rdkit_conf_3,12,9,0.0000
Ac2_rdkit_conf_3,12,10,0.0000
Ac2_rdkit_conf_3,12,11,0.0000
Ac2_rdkit_conf_3,13,8,0.0000
Ac2_rdkit_conf_3,13,9,0.0000
Ac2_rdkit_conf_3,13,10,0.0000
Ac2_rdkit_conf_3,13,11,0.0000
Ac2_rdkit_conf_3,14,8,0.0001
Ac2_rdkit_conf_3,14,9,0.0000
Ac2_rdkit_conf_3,14,10,0.0000
Ac2_rdkit_conf_3,14,11,0.0000
Ac2_rdkit_conf_3,15,8,0.0000
Ac2_rdkit_conf_3,15,9,0.0000
Ac2_rdkit_conf_3,15,10,0.0000
Ac2_rdkit_conf_3,15,11,0.0000
Ac2_rdkit_conf_3,16,8,0.0000
Ac2_rdkit_conf_3,16,9,0.0000
Ac2_rdkit_conf_3,16,10,0.0000
Ac2_rdkit_conf_3,16,11,0.0000
Ac2_rdkit_conf_3,17,8,0.0001
Ac2_rdkit_conf_3,17,9,0.0000
Ac2_rdkit_conf_3,17,10,0.0000
Ac2_rdkit_conf_3,17,11,0.0000
Ac2_rdkit_conf_3,18,8,0.0000
Ac2_rdkit_conf_3,18,9,0.0000
Ac2_rdkit_conf_3,18,10,0.0001
Ac2_rdkit_conf_3,18,11,0.0000
Ac2_rdkit_conf_3,19,8,0.0001
Ac2_rdkit_conf_3,19,9,0.0000
Ac2_rdkit_conf_3,19,10,0.0000
Ac2_rdkit_conf_3,19,11,0.0000
Ac2_rdkit_conf_3,20,8,0.0000
Ac2_rdkit_conf_3,20,9,0.0000
Ac2_rdkit_conf_3,20,10,0.0000
Ac2_rdkit_conf_3,20,11,0.0000
Ac2_rdkit_conf_3,21,8,0.0031
Ac2_rdkit_conf_3,21,9,0.0003
Ac2_rdkit_conf_3,21,10,0.0003
Ac2_rdkit_conf_3,21,11,0.0001
Ac2_rdkit_conf_3,22,8,0.9101
Ac2_rdkit_conf_3,22,9,0.0047
Ac2_rdkit_conf_3,22,10,0.0125
Ac2_rdkit_conf_3,22,11,0.0019
Ac2_rdkit_conf_3,23,8,0.8968
Ac2_rdkit_conf_3,23,9,0.0043
Ac2_rdkit_conf_3,23,10,0.0122
Ac2_rdkit_conf_3,23,11,0.0012
Ac2_rdkit_conf_3,24,8,0.0143
Ac2_rdkit_conf_3,24,9,0.0021
Ac2_rdkit_conf_3,24,10,0.0045
Ac2_rdkit_conf_3,24,11,0.7339
Ac5_rdkit_conf_3,1,0,1.0038
Ac5_rdkit_conf_3,2,1,0.9917
Ac5_rdkit_conf_3,3,0,0.0072
Ac5_rdkit_conf_3,3,1,0.9229
Ac5_rdkit_conf_3,3,2,0.0080
Ac5_rdkit_conf_3,4,0,0.0046
Ac5_rdkit_conf_3,4,1,0.0518
Ac5_rdkit_conf_3,4,2,0.0106
Ac5_rdkit_conf_3,4,3,1.7807
Ac5_rdkit_conf_3,5,0,0.0075
Ac5_rdkit_conf_3,5,1,0.0143
Ac5_rdkit_conf_3,5,2,0.0023
Ac5_rdkit_conf_3,5,3,1.0367
Ac5_rdkit_conf_3,5,4,0.1491
Ac5_rdkit_conf_3,6,1,0.9704
Ac5_rdkit_conf_3,6,3,0.0150
Ac5_rdkit_conf_3,6,4,0.0121
Ac5_rdkit_conf_3,6,5,0.0047
Ac5_rdkit_conf_3,7,1,0.0057
Ac5_rdkit_conf_3,7,3,0.0062
Ac5_rdkit_conf_3,7,4,0.0037
Ac5_rdkit_conf_3,7,5,0.0016
Ac5_rdkit_conf_3,8,1,0.0094
Ac5_rdkit_conf_3,8,3,0.0005
Ac5_rdkit_conf_3,8,4,0.0005
Ac5_rdkit_conf_3,8,5,0.0007
Ac5_rdkit_conf_3,9,1,0.0012
Ac5_rdkit_conf_3,9,3,0.0035
Ac5_rdkit_conf_3,9,4,0.0018
Ac5_rdkit_conf_3,9,5,0.0003
Ac5_rdkit_conf_3,10,1,0.0090
Ac5_rdkit_conf_3,10,3,0.0007
Ac5_rdkit_conf_3,10,4,0.0003
Ac5_rdkit_conf_3,10,5,0.0005
Ac5_rdkit_conf_3,11,1,0.0059
Ac5_rdkit_conf_3,11,3,0.0099
Ac5_rdkit_conf_3,11,4,0.0028
Ac5_rdkit_conf_3,11,5,0.0013
Ac5_rdkit_conf_3,12,1,0.0010
Ac5_rdkit_conf_3,12,3,0.0014
Ac5_rdkit_conf_3,12,4,0.0004
Ac5_rdkit_conf_3,12,5,0.0004
Ac5_rdkit_conf_3,13,1,0.0012
Ac5_rdkit_conf_3,13,3,0.0111
Ac5_rdkit_conf_3,13,4,0.0019
Ac5_rdkit_conf_3,13,5,0.0003
Ac5_rdkit_conf_3,14,1,0.0011
Ac5_rdkit_conf_3,14,3,0.0011
Ac5_rdkit_conf_3,14,4,0.0001
Ac5_rdkit_conf_3,14,5,0.0002
Ac5_rdkit_conf_3,15,1,0.0011
Ac5_rdkit_conf_3,15,3,0.0011
Ac5_rdkit_conf_3,15,4,0.0002
Ac5_rdkit_conf_3,15,5,0.0002
Ac5_rdkit_conf_3,16,1,0.0014
Ac5_rdkit_conf_3,16,3,0.0108
Ac5_rdkit_conf_3,16,4,0.0018
Ac5_rdkit_conf_3,16,5,0.0019
Ac5_rdkit_conf_3,17,1,0.0010
Ac5_rdkit_conf_3,17,3,0.0009
Ac5_rdkit_conf_3,17,4,0.0003
Ac5_rdkit_conf_3,17,5,0.0002
Ac5_rdkit_conf_3,18,1,0.0156
Ac5_rdkit_conf_3,18,3,0.0021
Ac5_rdkit_conf_3,18,4,0.0045
Ac5_rdkit_conf_3,18,5,0.7305
Ac5_rdkit_conf_3,19,1,0.0022
Ac5_rdkit_conf_3,19,3,0.0002
Ac5_rdkit_conf_3,19,4,0.0002
Ac5_rdkit_conf_3,19,5,0.0007
Ac5_rdkit_conf_3,20,1,0.0003
Ac5_rdkit_conf_3,20,3,0.0000
Ac5_rdkit_conf_3,20,4,0.0000
Ac5_rdkit_conf_3,20,5,0.0000
Ac5_rdkit_conf_3,21,1,0.0006
Ac5_rdkit_conf_3,21,3,0.0000
