species,atom1,atom2,wiberg_bond_order,bond_length
Ac4_rdkit_conf_1,14,7,0.0083,3.4023846972623484
Ac4_rdkit_conf_1,14,8,0.0004,4.672960587313999
Ac4_rdkit_conf_1,14,9,0.0000,5.0438802739736
Ac4_rdkit_conf_1,14,10,0.0003,5.747334442209101
Ac4_rdkit_conf_1,14,11,0.0001,2.255485135977845
Ac4_rdkit_conf_1,14,12,0.0001,2.2589328504559405
Ac4_rdkit_conf_1,14,13,0.0001,3.537199615379516
Ac4_rdkit_conf_1,15,0,0.0001,4.793849079731755
Ac4_rdkit_conf_1,15,1,0.0009,4.532149152493991
Ac4_rdkit_conf_1,15,2,0.0086,3.3876206306543533
Ac4_rdkit_conf_1,15,3,0.0026,2.132733305328165
Ac4_rdkit_conf_1,15,4,0.9233,1.0826764682715702
Ac4_rdkit_conf_1,15,5,0.0027,2.1443183807023622
Ac4_rdkit_conf_1,15,6,0.0092,3.3713801971249104
Ac4_rdkit_conf_1,15,7,0.0007,3.8662926652506533
Ac4_rdkit_conf_1,15,8,0.0004,5.352144660291797
Ac4_rdkit_conf_1,15,9,0.0000,6.161236965289843
Ac4_rdkit_conf_1,15,10,0.0000,5.973564148384195
Ac4_rdkit_conf_1,15,11,0.0000,4.582113356342355
Ac4_rdkit_conf_1,15,12,0.0000,4.577125281277213
Ac4_rdkit_conf_1,15,13,0.0000,5.878442324489286
Ac4_rdkit_conf_1,15,14,0.0029,2.439487947181949
Ac4_rdkit_conf_1,16,0,0.0000,6.06098421386098
Ac4_rdkit_conf_1,16,1,0.0004,5.224652987728946
Ac4_rdkit_conf_1,16,2,0.0007,3.8839121269094123
Ac4_rdkit_conf_1,16,3,0.0093,3.391985697748297
Ac4_rdkit_conf_1,16,4,0.0028,2.149010020263749
Ac4_rdkit_conf_1,16,5,0.9209,1.0808989395179363
Ac4_rdkit_conf_1,16,6,0.0030,2.143590489665645
Ac4_rdkit_conf_1,16,7,0.0092,3.400391991980042
Ac4_rdkit_conf_1,16,8,0.0002,4.6309400300069745
Ac4_rdkit_conf_1,16,9,0.0004,5.737393841412056
Ac4_rdkit_conf_1,16,10,0.0000,4.680447805896568
Ac4_rdkit_conf_1,16,11,0.0000,6.064739493442896
Ac4_rdkit_conf_1,16,12,0.0000,6.053920771173174
Ac4_rdkit_conf_1,16,13,0.0000,7.051995658677761
Ac4_rdkit_conf_1,16,14,0.0002,4.273467373501405
Ac4_rdkit_conf_1,16,15,0.0028,2.4813091825834603
Ac4_rdkit_conf_1,17,0,0.0006,5.734813056417184
Ac4_rdkit_conf_1,17,1,0.0003,4.484079285451808
Ac4_rdkit_conf_1,17,2,0.0085,3.387222629199474
Ac4_rdkit_conf_1,17,3,0.0008,3.846607520426538
Ac4_rdkit_conf_1,17,4,0.0090,3.369537474294506
Ac4_rdkit_conf_1,17,5,0.0028,2.1412579133056346
Ac4_rdkit_conf_1,17,6,0.9127,1.0803155455736069
Ac4_rdkit_conf_1,17,7,0.0022,2.1290276917600206
Ac4_rdkit_conf_1,17,8,0.0027,2.6591997256693602
Ac4_rdkit_conf_1,17,9,0.0007,3.8502993853120047
Ac4_rdkit_conf_1,17,10,0.0010,2.288530818322751
Ac4_rdkit_conf_1,17,11,0.0000,6.000602634297742
Ac4_rdkit_conf_1,17,12,0.0000,5.9891441932069895
Ac4_rdkit_conf_1,17,13,0.0000,6.484334826218106
Ac4_rdkit_conf_1,17,14,0.0004,4.925768370903569
Ac4_rdkit_conf_1,17,15,0.0003,4.271470845005266
Ac4_rdkit_conf_1,17,16,0.0029,2.4726384908491976
Ac4_rdkit_conf_1,18,0,0.0000,6.009419872746204
Ac4_rdkit_conf_1,18,1,0.0001,4.616053938138722
Ac4_rdkit_conf_1,18,2,0.0003,4.374071342317247
Ac4_rdkit_conf_1,18,3,0.0004,5.577845113806407
Ac4_rdkit_conf_1,18,4,0.0001,5.83762205839167
Ac4_rdkit_conf_1,18,5,0.0001,5.026636567781084
Ac4_rdkit_conf_1,18,6,0.0009,3.643168964238414
Ac4_rdkit_conf_1,18,7,0.0129,3.1708639128605003
Ac4_rdkit_conf_1,18,8,0.0013,1.8675815245225573
Ac4_rdkit_conf_1,18,9,0.0053,2.2403483734357033
Ac4_rdkit_conf_1,18,10,0.7349,0.9669532874151678
Ac4_rdkit_conf_1,18,11,0.0000,6.5620071609595945
Ac4_rdkit_conf_1,18,12,0.0000,6.524373039129584
Ac4_rdkit_conf_1,18,13,0.0000,6.255905607732025
Ac4_rdkit_conf_1,18,14,0.0000,6.507689853517605
Ac4_rdkit_conf_1,18,15,0.0000,6.902004315345652
Ac4_rdkit_conf_1,18,16,0.0000,5.63955376506874
Ac4_rdkit_conf_1,18,17,0.0001,3.2203312596448836
Ac7_rdkit_conf_3,1,0,1.7813,1.1996612665806965
Ac7_rdkit_conf_3,2,0,0.1505,2.229636542311325
Ac7_rdkit_conf_3,2,1,1.0333,1.3497351484102353
Ac7_rdkit_conf_3,3,0,0.0480,2.411905744694432
Ac7_rdkit_conf_3,3,1,0.9632,1.5054568914538868
Ac7_rdkit_conf_3,3,2,0.0151,2.37343850460508
Ac7_rdkit_conf_3,4,0,0.0131,3.455088756392374
Ac7_rdkit_conf_3,4,1,0.0091,2.508499818044841
Ac7_rdkit_conf_3,4,2,0.0026,2.9226499487884277
Ac7_rdkit_conf_3,4,3,0.9919,1.534481651563485
Ac7_rdkit_conf_3,5,0,0.0018,4.752133073662501
Ac7_rdkit_conf_3,5,1,0.0084,3.855150251703427
Ac7_rdkit_conf_3,5,2,0.0013,4.331441301834182
Ac7_rdkit_conf_3,5,3,0.0046,2.5157811116090762
Ac7_rdkit_conf_3,5,4,1.0167,1.5265139591611994
Ac7_rdkit_conf_3,6,0,0.0001,5.3576022675648485
Ac7_rdkit_conf_3,6,1,0.0002,4.349551405159618
Ac7_rdkit_conf_3,6,2,0.0000,4.665497143036956
Ac7_rdkit_conf_3,6,3,0.0024,2.9467493534819007
Ac7_rdkit_conf_3,6,4,0.0049,2.519611457117347
Ac7_rdkit_conf_3,6,5,1.0174,1.5268860237335988
Ac7_rdkit_conf_3,7,0,0.0018,4.752108112030491
Ac7_rdkit_conf_3,7,1,0.0084,3.8551456266688553
Ac7_rdkit_conf_3,7,2,0.0013,4.331459685428228
Ac7_rdkit_conf_3,7,3,0.0046,2.515781248490814
Ac7_rdkit_conf_3,7,4,0.0023,2.9461275696023415
Ac7_rdkit_conf_3,7,5,0.0049,2.5178460007246275
Ac7_rdkit_conf_3,7,6,1.0174,1.5268848916542466
Ac7_rdkit_conf_3,8,0,0.0131,3.4550545064392257
Ac7_rdkit_conf_3,8,1,0.0091,2.5084932375679228
Ac7_rdkit_conf_3,8,2,0.0026,2.9226781951467045
Ac7_rdkit_conf_3,8,3,0.9919,1.5344825333870697
Ac7_rdkit_conf_3,8,4,0.0062,2.5217690006999054
Ac7_rdkit_conf_3,8,5,0.0023,2.94612852802606
Ac7_rdkit_conf_3,8,6,0.0049,2.519611481080764
Ac7_rdkit_conf_3,8,7,1.0167,1.526513709791039
Ac7_rdkit_conf_3,9,0,0.0051,2.2672316931123295
Ac7_rdkit_conf_3,9,1,0.0020,1.8761030182132858
Ac7_rdkit_conf_3,9,2,0.7349,0.9678169229606396
Ac7_rdkit_conf_3,9,3,0.0150,3.1987894809347805
Ac7_rdkit_conf_3,9,4,0.0003,3.7860161605722182
Ac7_rdkit_conf_3,9,5,0.0001,5.242923569176838
Ac7_rdkit_conf_3,9,6,0.0000,5.630474650852893
Ac7_rdkit_conf_3,9,7,0.0001,5.242932464905208
Ac7_rdkit_conf_3,9,8,0.0003,3.7860292711828047
Ac7_rdkit_conf_3,10,0,0.0019,2.4998301519609285
Ac7_rdkit_conf_3,10,1,0.0023,2.0828890814416883
Ac7_rdkit_conf_3,10,2,0.0063,3.260879308073974
Ac7_rdkit_conf_3,10,3,0.9049,1.0925047071729257
