,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
32,Ac5_rdkit_conf_3,7,-0.2125,36.2094,-0.2125,-0.098031,-0.208621,-0.044559,-0.15364,-0.025663,-0.131892,0.027809,-0.27711,-0.158347,-0.30612,-0.104875
33,Ac5_rdkit_conf_3,8,-0.20404,37.0996,-0.20404,-0.097177,-0.15101,-0.04115,-0.20072,-0.039353,-0.115687,0.016674,-0.2256,-0.155078,-0.15642,-0.09905
34,Ac5_rdkit_conf_3,9,-0.2126,38.7564,-0.2126,-0.098753,-0.151616,-0.042672,0.04373,0.051693,-0.00849,0.107775,-0.4117,-0.213702,-0.29189,-0.15762
35,Ac5_rdkit_conf_3,10,-0.20269,37.0652,-0.20269,-0.097113,-0.146368,-0.041008,-0.15931,-0.024461,-0.092311,0.031645,-0.24239,-0.161482,-0.164191,-0.105376
36,Ac5_rdkit_conf_3,11,-0.21341,40.3453,-0.21341,-0.095983,-0.182952,-0.041676,-0.1903,-0.03402,-0.129767,0.020287,-0.25898,-0.154625,-0.268654,-0.100319
37,Ac5_rdkit_conf_3,12,0.22968,29.5178,0.22968,0.09193,0.183139,0.034853,0.23714,0.103048,0.19895,0.045971,0.22268,0.080415,0.166872,0.023337
38,Ac5_rdkit_conf_3,13,0.20966,30.8225,0.20966,0.087001,0.171354,0.033344,0.21983,0.099511,0.192326,0.045854,0.19598,0.071614,0.146035,0.017956
39,Ac5_rdkit_conf_3,14,0.21825,30.7047,0.21825,0.089926,0.16081,0.035167,0.24812,0.114173,0.198502,0.059415,0.19308,0.066411,0.119114,0.011653
40,Ac5_rdkit_conf_3,15,0.22107,29.6052,0.22107,0.088572,0.159257,0.031005,0.22865,0.100389,0.178291,0.042823,0.21342,0.075769,0.142793,0.018202
41,Ac5_rdkit_conf_3,16,0.21465,30.9380,0.21465,0.089016,0.159202,0.03562,0.22831,0.104687,0.185482,0.05129,0.19624,0.067419,0.116148,0.014022
